MMR,ABR,PSW,EDUF,EDUM,LFPF,LFPM,GII
5,2.212,39.83739837,96.8586731,97.53341675,61.728,72.705,0.018
2,2.336,44.9704142,99.09422302,99.28356171,60.294,71.95,0.016
4,5.395,47.61904762,99.76841736,99.66255188,61.671,70.463,0.043
6,8.096,37.88546256,94.58006287,94.43006897,61.057,70.547,0.073
4,1.908,39.66480447,95.06726074,95.23809814,57.721,66.653,0.013
4,3.345,46.99140401,91.80840302,92.22470093,61.651,68.009,0.023
5,5.941,27.27272727,88.12758125,85.95681296,56.526,68.573,0.074
7,7.465,34.7826087,96.07321988,96.46214387,56.843,66.041,0.073
5,2.804,39.11111111,89.80818939,92.67472839,62.444,71.315,0.025
3,4.159,46,98.9862418,98.45397,56.46,64.029,0.033
8,2.623,29.80769231,80.46401978,85.93203735,59.406,76.828,0.04
5,5.33,42.85714286,87.21031952,89.70520782,49.842,58.812,0.048
9,12.63,49.16666667,82.03005219,81.80406952,65.075,75.33,0.088
10,6.978,34.41860465,100,100,60.801,69.741,0.069
5,4.304,35,100,100,58.481,65.544,0.044
7,10.541,31.08013937,99.80036926,99.80490875,58.044,67.091,0.098
5,2.903,14.24541608,95.86,92.72,53.3,71.031,0.083
11,2.211,19,83.08193619,93.09085515,53.391,72.448,0.067
19,15.966,26.96629213,96.54834747,96.36666107,55.227,66.437,0.179
3,7.614,28.33333333,91.55364866,93.70608839,58.518,66.075,0.083
6,11.484,13.43283582,82.18309021,88.08731842,53.084,71.413,0.167
7,4.478,21.53846154,97.61309052,98.74433899,53.763,62.188,0.071
5,5.521,39.3442623,100,100,55.514,66.283,0.053
3,3.085,50,81.99700165,85.59674072,46.542,88.003,0.049
4,6.281,42.27642276,78.534729,83.16280365,52.654,62.412,0.057
8,9.529,37.83783784,83.53661346,87.89122009,51.897,59.675,0.083
6,6.827,14.28571429,81.13751221,84.81717682,56.648,68.766,0.123
2,3.993,35.26315789,78.6272583,86.09230804,39.89,57.592,0.056
9,8.764,25.74257426,97.55341339,98.1432724,57.453,70.169,0.1
3,9.709,22.06405694,99.83693695,99.78072357,51.668,68.064,0.12
3,8.479,21.66666667,69.86016083,77.78988647,43.297,58.108,0.119
2,9.653,27.54919499,86.51820374,90.7297821,49.2,65.489,0.109
14,8.676,18.75,79.90357208,83.08016205,42.361,83.531,0.181
8,10.377,27.65957447,95.53431702,97.90854645,57.338,67.865,0.105
17,11.937,19.86754967,71.27487946,80.92530823,30.937,80.146,0.247
8,7.444,40,59.74694061,61.92316818,53.975,62.208,0.067
19,11.216,29,99.7160358,99.27289181,54.542,66.827,0.151
8,8.637,31.12582781,96.9785849,100,45.925,58.751,0.093
13,24.082,32.68292683,80.2849261,83.47512015,44.172,65.547,0.187
9,7.069,4.444444444,79.76019329,69.62825676,57.215,95.456,0.22
5,26.307,22.66666667,98.86412048,99.18135071,54.743,66.415,0.18
12,22.148,13.06532663,97.61313629,98.82952881,52.064,67.21,0.221
39,39.065,44.3768997,70.95140102,71.41679445,50.01,71.603,0.287
17,16.884,17.33333333,56.30186081,75.94152832,31.843,69.407,0.272
6,10.361,24.69135802,92.31310231,99.24184464,47.817,62.006,0.119
12,5.638,1.538461538,60.90419675,55.1536148,47.428,83.804,0.305
31,9.978,9.090909091,70.44,71.2,54.069,72.339,0.259
17,14.988,16.4516129,92.77286721,95.90374729,54.489,69.717,0.203
19,36.376,18.49462366,88.81739807,93.70266724,42.795,62.34,0.282
19,9.944,9.88372093,96.64070129,99.91072845,28.721,85.042,0.3
70,25.686,20,86.99974025,89.93165835,65.627,71.486,0.329
10,21.877,24.51612903,99.82169344,99.98009664,63.27,75.518,0.161
67,38.132,32.43243243,84.8022413,80.64749944,46.651,67.961,0.344
27,37.148,45.61403509,56.2360611,54.53149033,47.527,71.142,0.256
17,36.226,26.15384615,59.55147171,55.45653915,54.778,69.25,0.235
2,11.85,34.70588235,97.47853851,99.02928162,57.311,71.387,0.104
52,69.912,22.53521127,70.17552185,68.69452667,50.39,72.572,0.392
29,9.271,14.85507246,75.03938293,78.43251801,51.188,77.551,0.228
25,31.654,19.33333333,97.14543915,98.2853775,50.995,68.03,0.28
61,24.564,20,64.41497911,70.77324941,43.404,70.448,0.347
12,14.897,39.2,88.57485199,95.30072021,46.618,62.272,0.131
37,32.744,13.93775372,47.62686157,51.66852951,58.992,75.027,0.333
15,14.517,35.71428571,95.38750547,93.03841453,50.733,66.154,0.144
10,38.605,23.75,94.88394165,96.54078674,49.143,62.636,0.21
27,42.297,29.41176471,95.38591214,86.00105471,56.055,63.727,0.268
36,15.65,5.381165919,83.96347046,84.23522186,30.897,68.495,0.383
10,9.86,24.56140351,82.73858643,94.02471924,32.257,52.351,0.136
16,30.155,5.594405594,71.59315863,75.97091206,14.354,68.086,0.459
19,15.642,20.80378251,96.1699095,95.79626511,48.098,63.567,0.2
7,16.367,41.66666667,61.9025116,75.12754822,42.397,63.444,0.134
29,11.048,24.94117647,78.28194698,85.35439944,61.612,74.29,0.192
95,65.629,25.67567568,77.42735419,76.94311955,49.577,75.162,0.429
19,27.795,39.6039604,96.11180878,97.96125793,33.877,43.932,0.205
36,48.82,53.41296928,89.50523473,91.93527564,40.285,68.454,0.303
88,56.756,40,59.31188046,69.93792068,66.069,81.875,0.38
26,18.511,33.64485981,96.00138092,97.05095673,42.663,63.004,0.216
33,54.369,49.84076433,65.05142212,66.72071075,43.809,75.415,0.309
60,45.2,14.81481481,62.44875545,59.09576637,49.11,68.24,0.39
83,59.034,19.63636364,58.85783005,56.54455185,52.182,77.998,0.424
68,47.871,18.18181818,44.06853867,39.61914825,52.913,74.1,0.39
53,7.291,4.597701149,46.40092391,41.46901102,34.326,67.494,0.348
112,11.714,7.481751825,46.04397589,56.92760312,15.684,64.48,0.499
26,40.079,18.18181818,93.6227417,97.56490326,60.366,67.342,0.294
52,18.965,0,93.52619044,93.14792163,37.292,55.263,0.631
7,21.769,25,93.47375488,92.15588379,36.54,55.59,0.177
59,63.163,39.41605839,53.01758957,52.00579071,53.344,76.519,0.362
45,26.708,17.10526316,79.25840759,73.04766846,51.495,66.572,0.313
37,44.767,22.86995516,81.57427958,76.60529677,15.385,67.088,0.443
43,6.685,26.26728111,42.92002694,51.79512793,25.493,67.15,0.259
34,26.843,21.56862745,90.21557827,87.89150171,37.701,75.257,0.318
120,56.137,29.41176471,69.91561694,70.65886296,43.449,65.065,0.427
29,15.859,28.74493927,99.87657928,99.95916748,44.898,70.916,0.227
46,25.369,11.79487179,77.37870026,84.21157074,13.469,62.322,0.471
72,6.93,15.95744681,70.4920975,45.05386134,34.119,60.969,0.259
84,70.347,16.8,52.54085159,53.97874069,59.636,84.214,0.445
117,36.918,24.13793103,49.85380936,43.81652069,63.158,73.228,0.381
169,66.556,35.71428571,69.5281601,62.23261261,40.304,64.097,0.454
119,61.206,45.98214286,68.89771271,87.66622162,46.212,59.883,0.405
80,32.764,30.95238095,74.33101903,66.38198168,56.095,70.003,0.335
43,43.589,7.843137255,79.1274861,71.58292158,30.7,54.237,0.418
252,91.176,18.66028708,67.2082324,83.98536007,39.117,57.012,0.541
29,20.306,4.6875,54.31374759,55.56182719,20.75,64.332,0.432
177,33.929,21.04347826,51.00518036,58.21279907,53.704,81.668,0.444
43,34.6,30.26052104,61.2890892,69.64498901,69.637,79.437,0.296
121,48.202,28.04878049,73.35157013,69.08991241,43.836,68.302,0.419
144,49.324,10.76923077,91.28,91.78,56.282,65.148,0.468
155,63.792,48.19277108,60.10496902,69.68730927,68.283,83.765,0.418
60,34.697,20.45454545,100,99.80193376,42.141,71.67,0.37
125,82.715,22.15568862,79.84323438,75.37381958,34.348,67.813,0.492
79,62.192,28.87537994,42.03605395,52.86165844,11.078,71.763,0.558
17,45.427,23.40425532,93.50186807,94.58824356,30.21,50.534,0.285
36,57.127,19.56521739,54.48728943,49.83901978,46.897,76.752,0.364
70,25.936,20.38834951,30.92,37.12,22.009,65.95,0.425
46,55.89,27.38095238,42.65145111,51.43286896,43.579,72.57,0.376
98,85.648,50.54945055,51.22,49.74,46.803,81.299,0.424
183,18.977,16.66666667,23.56883049,32.3101387,51.625,67.397,0.415
58,55.228,38.88888889,28.77587928,31.23702564,46.91,61.705,0.349
173,75.496,20.85714286,50.61270905,58.54695892,34.869,78.782,0.53
133,17.234,13.44430218,41.82268012,53.83470565,19.233,70.092,0.49
308,64.176,14.54545455,57.9802799,73.21096064,64.527,72.234,0.529
95,64.054,19.375,29.45459938,35.83335876,37.363,80.268,0.481
65,71.972,27.34375,35.84704971,44.83575058,42.33,78.94,0.431
130,79.418,23.63636364,39.87447381,48.40198103,37.137,69.876,0.494
195,64.944,35.61643836,41.50391738,44.13780034,54.532,62.181,0.445
185,73.175,21.95121951,37.66,47.74,74.785,78.093,0.478
142,33.877,38.46153846,33.73693085,41.76971436,60.987,72.24,0.378
186,63.837,33.63363363,28.82630932,44.72901025,78.691,80.772,0.452
437,69.934,18.44660194,33.98,36.16,45.622,53.606,0.54
160,45.453,19.78609626,18.32,31.7,73.96,85.918,0.461
458,94.312,34.57142857,61.76821107,72.4445032,79.308,88.933,0.532
241,138.402,29.54545455,28.1639,51.54617,73.968,79.071,0.537
250,33.043,14.97659906,38.50756836,47.8025589,40.987,69.962,0.498
31,38.72,11.2,37.12,43.372,15.715,70.767,0.477
529,110.378,31.07142857,36.84196776,54.95841188,70.154,80.747,0.565
342,64.185,23.24455206,31.07780546,37.66723653,70.984,75.564,0.506
378,103.633,13.63636364,47.98,51.98,65.062,67.605,0.564
213,117.017,15.06024096,47.10420099,56.81189742,69.23,77.847,0.54
145,55.25,0,10.78,15.52,46.254,48.14,0.725
766,78.013,20.26143791,14.46704956,21.91646074,27.396,62.19,0.632
617,104.968,15.58073654,23.87971266,32.16237494,45.92,64.893,0.613
524,123.652,36.8556701,13.00208063,19.10147619,79.528,87.098,0.56
140,42.269,19.90950226,22.06782913,28.67371941,20.727,78.079,0.534
396,77.88,18.68131868,13.93464167,42.29159483,55.488,59.369,0.58
480,52.545,2.739726027,27.94,40.96,60.686,68.93,0.635
917,101.675,4.47761194,40.35792136,55.28503224,47.93,59.591,0.68
248,32.444,55.66037736,11.44769934,16.31111198,82.501,82.226,0.388
397,92.259,8.43373494,21.06531874,34.43517121,69.334,72.599,0.602
375,107.938,33.81294964,29.34,36.32,64.172,71.306,0.53
544,89.568,22.87581699,27.18479273,24.55728122,56.071,71.343,0.557
349,117.865,22.91666667,21.30387863,28.44226027,71.559,79.953,0.554
315,66.454,43.03030303,11.14758684,30.92489003,33.51,56.729,0.53
295,79.908,31.04166667,16.42,20.12,28.653,67.819,0.553
335,119.429,17.15976331,27.31361738,29.75999953,81.531,87.595,0.556
597,63.188,8.620689655,29.91536713,43.19478226,48.917,66.259,0.611
401,69.221,39.543058,9.137025833,20.10887527,72.335,84.683,0.52
667,87.537,13.7254902,9.798909187,22.79538155,63.868,78.373,0.627
661,123.38,9.708737864,20.76,39.16,69.782,79.717,0.648
473,108.962,14.28571429,40.27580654,69.11574797,61.209,69.065,0.601
638,82.565,27.21518987,6.395730019,14.86571026,14.848,66.515,0.678
1120,100.905,12.32876712,34.74049907,51.53708467,56.086,55.925,0.633
576,114.829,16.66666667,7.151153164,19.66277119,62.061,62.188,0.621
164,54.404,0.294117647,22.44,37.52,5.995,67.637,0.82
320,110.509,6.299212598,11.28843615,17.11972185,57.237,72.725,0.621
289,165.778,42.4,10.80922139,20.23368486,77.657,78.931,0.537
562,150.062,27.27272727,7.999770164,15.48596954,57.678,79.673,0.613
548,53.621,38.88888889,7.799910319,13.04688639,78.991,77.379,0.505
829,160.507,12.85714286,13.94,31.56,63.312,79.486,0.672
509,170.462,25.90361446,9.163241563,15.23277103,61.73,84.267,0.611
1140,138.306,32.25806452,7.739064493,24.36999639,46.914,69.927,0.652
1150,99.199,32.33438486,26.53763962,36.35723877,70.44,73.574,0.587
14.97853185,14.09208185,29.13450292,86.97344955,89.41055967,52.56831041,68.412961,0.155
62.10730446,28.04192388,25.75284772,72.67504104,78.02377915,53.63918217,73.47596252,0.329
175.3470942,38.12841017,21.78904711,43.95910711,54.18083056,28.80900951,71.30478678,0.494
499.4570447,89.51971356,24.34782609,22.79077998,34.12232595,49.26579234,73.20895635,0.577
246.9095662,46.52435502,23.94606758,56.91932551,64.66053086,44.39985685,72.76621608,0.487
150.2808287,45.25376613,18.33366474,53.81279842,60.44328083,19.32871244,69.46601765,0.536
81.93302878,21.58068237,20.9302702,71.43200548,78.21712342,59.70419824,75.20912609,0.337
20.27576562,20.13162299,26.07003891,83.35239467,89.7488391,42.92637716,67.03875232,0.227
75.03083761,53.38933304,33.20063694,63.16086322,63.1713811,48.63018103,72.65657079,0.381
153.2683128,28.93707549,17.57785467,42.18837763,52.81724071,21.59412837,71.58559894,0.508
535.6588135,100.8778766,25.71575167,31.14724917,44.26957348,62.14442812,72.25366195,0.569
416.9284594,93.72968254,24.67922185,27.51403728,38.67386589,54.61581026,75.79993013,0.562
212.216578,50.89808228,26.70522279,62.05215661,65.65456565,50.40075196,68.67853343,0.461
17.9282692,19.23577034,32.39033933,86.72352629,89.05257643,51.84306675,67.7784921,0.185
225.4065029,42.52906594,25.91337244,64.15425842,70.31651579,46.20044669,71.69173974,0.465
